Country,Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,"Electricity, gas, steam and air conditioning supply",1283.63,848.7,1227.17,870.12,949.32,1116.16,807.09,738.37,961.64,578.43
Ireland,"Electricity, gas, steam and air conditioning supply",2138.97,1942.81,1753.62,1523.28,1363.26,1153.8,991.94,798.06,726,792.37
Greece,"Electricity, gas, steam and air conditioning supply",718.01,623.58,564.47,588.62,581.37,513.1,471.66,438.2,421.55,479.38
Spain,"Electricity, gas, steam and air conditioning supply",21772.6,22624.54,22697.77,23653.13,24054.04,25446.96,25927.5,27363.68,27347.05,22867.17
France,"Electricity, gas, steam and air conditioning supply",23886.38,25313.93,25779.79,25198.08,25932.96,24386.41,21450.8,21365.22,21834.29,21944.8
Croatia,"Electricity, gas, steam and air conditioning supply",2704.85,2592.28,2780.83,2677.07,2527.63,2394.99,2084.56,2212.15,2352.7,2335.35
Italy,"Electricity, gas, steam and air conditioning supply",215714.83,214678.56,222950.83,218376.95,217094.96,209987.55,199140.64,177529.92,173354.63,171615.3
Cyprus,"Electricity, gas, steam and air conditioning supply",155.8,154.05,149.65,144.86,137.77,109.6,113.54,117.56,127.54,127.03
Latvia,"Electricity, gas, steam and air conditioning supply",3695.7,3440.94,3378.38,2526.9,3034.86,3856.84,4994.36,3951.34,4449.73,4604.76
Lithuania,"Electricity, gas, steam and air conditioning supply",9185.46,8671.98,9737.74,7630.92,9958.52,10000.85,11747.16,12467.19,12898.23,12761.11
Luxembourg,"Electricity, gas, steam and air conditioning supply",2045.6,2067.5,2215,1927.9,1971.3,1681.6,1607.5,1461.3,1350.9,1325.62
Hungary,"Electricity, gas, steam and air conditioning supply",23682.43,21381.61,23684.73,19614.36,17829.94,16009.31,18056.21,15015.02,17030.94,20686.74
Malta,"Electricity, gas, steam and air conditioning supply",73.62,68.77,67.41,69.35,74.07,59.75,58.65,30.67,20.06,33.79
Netherlands,"Electricity, gas, steam and air conditioning supply",3564.2,3872.2,4240.44,3901.23,3312.38,2991.36,2813.02,2501.44,2599.97,2685.94
Austria,"Electricity, gas, steam and air conditioning supply",5680.32,5701.7,5798.15,6042.61,6230.27,6463.17,6339.45,6395.99,6408.49,6408.5
Poland,"Electricity, gas, steam and air conditioning supply",2722.3,3038.83,3389.96,3730.87,4554.37,4035.65,4237.68,4152.15,3509.01,3560.44
Portugal,"Electricity, gas, steam and air conditioning supply",2276.5,2275.4,2432.9,2387.6,2402.8,2314.5,2281.8,2437.6,2410.2,2863.07
Romania,"Electricity, gas, steam and air conditioning supply",222794.17,200550.79,200272.55,204241.67,186567.36,179033.96,179106.87,171032.85,158596.07,153086.42
Slovenia,"Electricity, gas, steam and air conditioning supply",2112.94,1955.03,2018.37,1732.55,1650.03,1597.18,1425.56,1517.85,1608.81,1679.49
Slovakia,"Electricity, gas, steam and air conditioning supply",32227.22,27394.17,30359.85,31306.48,22170.29,25399.49,22190.76,26005.67,27899.4,24168.04
Finland,"Electricity, gas, steam and air conditioning supply",1049.32,989.51,1149.44,1041.62,1002.59,1006.28,1020.44,943.58,1074.9,1038.25
Sweden,"Electricity, gas, steam and air conditioning supply",3967.35,4021.6,4068.3,3684.41,4038.6,3752.81,3327.67,3164.09,3317.78,3099.96
United Kingdom,"Electricity, gas, steam and air conditioning supply",203275.08,198769.38,194274.2,183924.19,178396.74,171629.88,160731.2,156351.14,152499.39,144898.04
Iceland,"Electricity, gas, steam and air conditioning supply",0.31,0.11,0.14,0.1,0.15,0.18,0.26,0.23,0.11,-1
Norway,"Electricity, gas, steam and air conditioning supply",906.19,1358.83,1790.43,1698.76,1689.62,1749.56,1743.13,1828.2,1874.59,-1
Switzerland,"Electricity, gas, steam and air conditioning supply",9205.48,8979.01,9416.2,9149.27,8563.56,7977.68,7773.37,7724.13,7772.86,-1
Serbia,"Electricity, gas, steam and air conditioning supply",-1,-1,6156.98,5941.32,6077.32,6325.14,5102.28,-1,-1,-1
Turkey,"Electricity, gas, steam and air conditioning supply",45528.68,41154.36,40982.92,47815.08,50490.36,43638.83,57693.71,54804.67,53500.19,-1
EU28,"Water supply; sewerage, waste management and remediation activities",6124432.03,5908282.41,5599863.84,5393660.8,5255267.47,4974866.16,4746374.12,4640708.4,4542388.89,4484545.09
Belgium,"Water supply; sewerage, waste management and remediation activities",78260.77,75134.59,67481.02,64995.8,62112.69,55766.22,52351.96,47321.88,44793.92,44793.92
Bulgaria,"Water supply; sewerage, waste management and remediation activities",8.18,7.86,7.28,6.86,6.95,5.23,5.34,5.22,4.5,4.34
Czechia,"Water supply; sewerage, waste management and remediation activities",178614.71,182268.06,189437.54,191672.12,208946.71,221150.19,222026.93,227438.56,228879.26,218683.62
Denmark,"Water supply; sewerage, waste management and remediation activities",42991.63,41750.72,39013.93,38915.83,37690.01,36342.24,36770.28,35467.13,36818.79,36822.52
Germany,"Water supply; sewerage, waste management and remediation activities",637826.31,589501.89,539644.99,514322.56,485277.5,453843.71,431929.51,407982.58,384861.58,366972.65
Estonia,"Water supply; sewerage, waste management and remediation activities",17312.19,17216.75,17136.47,14983.48,14670.38,13193.37,11611.69,11188.21,10381.58,11469.83
Ireland,"Water supply; sewerage, waste management and remediation activities",20692.44,13528.22,13208.86,17303.99,14192.46,20519.17,28077.18,31825.52,32787,31762.3
Greece,"Water supply; sewerage, waste management and remediation activities",180043.98,168548.23,179622.64,170924.7,162206.24,166420.49,169073.88,168718.53,169249.57,169834.29
Spain,"Water supply; sewerage, waste management and remediation activities",438167.87,493108.12,453584.65,476412.89,473227.58,459557.05,423067.11,454170.73,451073.59,451999.08
France,"Water supply; sewerage, waste management and remediation activities",661680.29,637179.77,636123.12,615698.07,588503.24,568466.47,548355.28,513402.33,472895.29,458574.27
Croatia,"Water supply; sewerage, waste management and remediation activities",61411.95,63559.16,64474.83,65727.29,64680.04,64403.43,65799.79,68942.45,69930.19,70964.78
Italy,"Water supply; sewerage, waste management and remediation activities",679210.28,683181.2,675736.74,651955.61,654898.48,604781.4,601870.39,607832.11,592317.06,586374.13
